Tensor,Dimensions,Rank,Gs,Entanglement
"7,9,12",7×9×12,510,"[24, 66, 32, 58, 12, 42, 4, 52, 28, 76, 52, 64]",-1.3554545819399342
"7,10,10",7×10×10,478,"[78, 88, 74, 88, 24, 47, 14, 31, 7, 27]",-0.7825119234155089
"7,10,11",7×10×11,536,"[51, 113, 64, 59, 30, 57, 44, 21, 33, 13, 51]",-1.0087597048248886
"7,11,11",7×11×11,582,"[25, 109, 28, 107, 27, 70, 67, 30, 56, 16, 47]",-1.1520410791319804
"8,8,10",8×8×10,441,"[100, 107, 67, 67, 24, 34, 23, 3, 13, 3]",-0.5950772853642106
"8,8,11",8×8×11,489,"[34, 107, 54, 82, 40, 72, 24, 19, 27, 13, 17]",-0.9787053400763882
"8,9,10",8×9×10,489,"[42, 94, 74, 88, 44, 68, 19, 16, 28, 16]",-0.9008596768911121
"8,9,11",8×9×11,533,"[28, 52, 44, 49, 6, 13, 19, 33, 72, 66, 151]",-1.4109156683097908
"8,9,12",8×9×12,560,"[16, 44, 8, 36, 4, 20, 148, 20, 24, 216, 24, 0]",-1.4747420536257163
"8,10,10",8×10×10,532,"[112, 148, 70, 102, 24, 24, 20, 20, 0, 12]",-0.5519142050090398
"8,10,11",8×10×11,596,"[33, 119, 72, 91, 44, 93, 28, 19, 38, 19, 40]",-1.0236419475142733
"8,10,12",8×10×12,636,"[34, 122, 107, 98, 68, 121, 8, 22, 18, 12, 4, 22]",-0.9357064394624739
"8,11,11",8×11×11,649,"[31, 121, 59, 125, 46, 74, 36, 32, 36, 29, 60]",-1.0716085450863453
"8,11,12",8×11×12,691,"[33, 123, 124, 97, 58, 150, 4, 21, 6, 18, 6, 51]",-0.9728085190139383
"9,9,9",9×9×9,498,"[52, 54, 12, 14, 0, 166, 0, 0, 200]",-1.2392042639497975
"9,9,10",9×9×10,534,"[16, 48, 12, 46, 31, 36, 65, 72, 59, 149]",-1.4064800342311075
"9,9,11",9×9×11,576,"[18, 53, 32, 46, 17, 27, 56, 31, 49, 79, 168]",-1.433985756149408
"9,10,10",9×10×10,606,"[69, 117, 152, 64, 31, 71, 6, 25, 47, 24]",-0.8191893836664155
"9,10,11",9×10×11,657,"[24, 74, 59, 79, 46, 69, 64, 35, 42, 58, 107]",-1.2688537840311134
"9,10,12",9×10×12,696,"[10, 54, 36, 112, 19, 38, 71, 132, 28, 80, 40, 76]",-1.3911719246127878
"9,11,11",9×11×11,725,"[29, 44, 40, 113, 89, 70, 96, 57, 71, 97, 19]",-1.2897173853424482
"9,11,12",9×11×12,760,"[24, 44, 16, 28, 0, 8, 64, 112, 56, 104, 132, 172]",-1.6126364575832082
"10,10,10",10×10×10,682,"[121, 249, 62, 180, 0, 50, 0, 20, 0, 0]",-0.5284435858311622
"10,10,11",10×10×11,746,"[55, 108, 88, 98, 54, 72, 56, 58, 46, 60, 51]",-1.1055068252822213
"10,10,12",10×10×12,798,"[48, 116, 90, 122, 34, 88, 42, 110, 22, 28, 18, 80]",-1.1284184525763292
"10,11,11",10×11×11,821,"[52, 167, 83, 129, 59, 104, 38, 51, 42, 41, 55]",-1.031930611769462
"10,11,12",10×11×12,874,"[44, 90, 45, 80, 55, 40, 53, 162, 53, 9, 64, 179]",-1.3707097627547848
"10,12,12",10×12×12,928,"[22, 64, 42, 144, 88, 70, 274, 46, 28, 38, 36, 76]",-1.2957783525906925
"11,11,11",11×11×11,896,"[94, 154, 20, 58, 0, 247, 0, 3, 24, 48, 248]",-1.1844559338908633
"11,11,12",11×11×12,941,"[8, 92, 16, 58, 60, 115, 108, 56, 40, 84, 24, 280]",-1.5063177037194746
"11,12,12",11×12×12,990,"[20, 34, 140, 100, 144, 58, 6, 52, 104, 84, 128, 120]",-1.3467010041675993
